"human_gene","human_id","mouse_gene","mouse_id","phenotype","extra","n_mouse","n_human","ortholog_type"
"A1BG",1,"A1bg","MGI:2152878","",NA,1,1,"one-to-one"
"A1CF",29974,"A1cf","MGI:1917115","MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"A2M",2,"A2m","MGI:2449119","",NA,1,1,"one-to-one"
"A3GALT2",127550,"A3galt2","MGI:2685279","",NA,1,1,"one-to-one"
"A4GALT",53947,"A4galt","MGI:3512453","MP:0005376, MP:0005386, MP:0010768",NA,1,1,"one-to-one"
"A4GNT",51146,"A4gnt","MGI:2143261","MP:0002006, MP:0005381, MP:0005384, MP:0005385, MP:0005387",NA,1,1,"one-to-one"
"AAAS",8086,"Aaas","MGI:2443767","MP:0005378, MP:0005386, MP:0005389",NA,1,1,"one-to-one"
"AACS",65985,"Aacs","MGI:1926144","MP:0005386",NA,1,1,"one-to-one"
"AADAC",13,"Aadac","MGI:1915008","MP:0005367, MP:0005378, MP:0005379, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"AADACL2",344752,"Aadacl2","MGI:3646333","",NA,1,1,"one-to-one"
"AADACL3",126767,"Aadacl3","MGI:2685281","",NA,1,1,"one-to-one"
"AADACL4",343066,"Aadacl4","MGI:3650257","MP:0005367, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010771",NA,6,1,"one-to-many (human-to-mouse)"
"AADACL4",343066,"Aadacl4fm1","MGI:2685880","",NA,6,1,"one-to-many (human-to-mouse)"
"AADACL4",343066,"Aadacl4fm2","MGI:3652194","",NA,6,1,"one-to-many (human-to-mouse)"
"AADACL4",343066,"AAdacl4fm3","MGI:3650721","",NA,6,1,"one-to-many (human-to-mouse)"
"AADACL4",343066,"Aadacl4fm4","MGI:2685282","",NA,6,1,"one-to-many (human-to-mouse)"
"AADACL4",343066,"Aadacl4fm5","MGI:2685284","",NA,6,1,"one-to-many (human-to-mouse)"
"AADAT",51166,"Aadat","MGI:1345167","MP:0003631, MP:0005386, MP:0005391",NA,1,1,"one-to-one"
"AAGAB",79719,"Aagab","MGI:1914189","MP:0010768",NA,1,1,"one-to-one"
"AAK1",22848,"Aak1","MGI:1098687","MP:0003631, MP:0005371, MP:0005376, MP:0005377, MP:0005385, MP:0005386, MP:0005390, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"AAMDC",28971,"Aamdc","MGI:1913523","",NA,1,1,"one-to-one"
"AAMP",14,"Aamp","MGI:107809","MP:0010768",NA,1,1,"one-to-one"
"AANAT",15,"Aanat","MGI:1328365","MP:0003631, MP:0005379",NA,1,1,"one-to-one"
"AAR2",25980,"Aar2","MGI:1915545","",NA,1,1,"one-to-one"
"AARD",441376,"Aard","MGI:2181621","",NA,1,1,"one-to-one"
"AARS1",16,"Aars1","MGI:2384560","MP:0003631, MP:0005369, MP:0005371, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"AARS2",57505,"Aars2","MGI:2681839","MP:0005378, MP:0005380, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"AARSD1",80755,"Aarsd1","MGI:1916934","",NA,1,2,"one-to-many (mouse-to-human)"
"AASDH",132949,"Aasdh","MGI:2442517","MP:0005376, MP:0005390, MP:0005391",NA,1,1,"one-to-one"
"AASDHPPT",60496,"Aasdhppt","MGI:1914868","MP:0001186, MP:0005376, MP:0005386, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"AASS",10157,"Aass","MGI:1353573","MP:0005367, MP:0005378, MP:0005387, MP:0005390",NA,1,1,"one-to-one"
"AATF",26574,"Aatf","MGI:1929608","MP:0005378, MP:0005380, MP:0005384, MP:0005386, MP:0005389, MP:0010768",NA,1,1,"one-to-one"
"AATK",9625,"Aatk","MGI:1197518","MP:0003631",NA,1,1,"one-to-one"
"ABAT",18,"Abat","MGI:2443582","MP:0005384, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCA1",19,"Abca1","MGI:99607","MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCA12",26154,"Abca12","MGI:2676312","MP:0005376, MP:0005377, MP:0005378, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005388, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ABCA13",154664,"Abca13","MGI:2388707","MP:0003631, MP:0005376, MP:0005384, MP:0005389",NA,1,1,"one-to-one"
"ABCA15P",400508,"Abca15","MGI:2388709","",NA,1,1,"one-to-one"
"ABCA17P",650655,"Abca17","MGI:3625331","MP:0005376",NA,1,1,"one-to-one"
"ABCA2",20,"Abca2","MGI:99606","MP:0003631, MP:0005376, MP:0005378, MP:0005386, MP:0005389, MP:0005390, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ABCA3",21,"Abca3","MGI:1351617","MP:0005376, MP:0005385, MP:0005386, MP:0005388, MP:0010768",NA,1,1,"one-to-one"
"ABCA4",24,"Abca4","MGI:109424","MP:0001186, MP:0003631, MP:0005376, MP:0005390, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"ABCA5",23461,"Abca5","MGI:2386607","MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ABCA6",23460,"Abca6","MGI:1923434","MP:0005376, MP:0005397",NA,1,1,"one-to-one"
"ABCA7",10347,"Abca7","MGI:1351646","MP:0005367, MP:0005375, MP:0005376, MP:0005386",NA,1,1,"one-to-one"
"ABCA8",10351,"Abca8a","MGI:2386846","MP:0005397, MP:0010768, MP:0010771",NA,2,1,"one-to-many (human-to-mouse)"
"ABCA8",10351,"Abca8b","MGI:1351668","MP:0005376",NA,2,1,"one-to-many (human-to-mouse)"
"ABCA9",10350,"Abca9","MGI:2386796","MP:0005386",NA,1,1,"one-to-one"
"ABCB1",5243,"Abcb1a","MGI:97570","MP:0003631, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005381, MP:0005385, MP:0005386, MP:0005387, MP:0005397, MP:0010768",NA,2,1,"one-to-many (human-to-mouse)"
"ABCB1",5243,"Abcb1b","MGI:97568","MP:0005376",NA,2,1,"one-to-many (human-to-mouse)"
"ABCB10",23456,"Abcb10","MGI:1860508","MP:0005370, MP:0005376, MP:0005380, MP:0005384, MP:0005385, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ABCB11",8647,"Abcb11","MGI:1351619","MP:0005370, MP:0005376, MP:0005378, MP:0005386, MP:0005388, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"ABCB4",5244,"Abcb4","MGI:97569","MP:0002006, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005397",NA,1,1,"one-to-one"
"ABCB5",340273,"Abcb5","MGI:1924956","MP:0001186, MP:0003631, MP:0005376, MP:0005384, MP:0005391",NA,1,1,"one-to-one"
"ABCB6",10058,"Abcb6","MGI:1921354","MP:0005376, MP:0005384, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ABCB7",22,"Abcb7","MGI:109533","MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0010768",NA,1,1,"one-to-one"
"ABCB8",11194,"Abcb8","MGI:1351667","MP:0005369, MP:0005376, MP:0005378, MP:0005385",NA,1,1,"one-to-one"
"ABCB9",23457,"Abcb9","MGI:1861729","MP:0003631, MP:0005379, MP:0005386, MP:0005387",NA,1,1,"one-to-one"
"ABCC1",4363,"Abcc1","MGI:102676","MP:0005376, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCC10",89845,"Abcc10","MGI:2386976","MP:0005376, MP:0005378, MP:0005379, MP:0005387, MP:0005390, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCC12",94160,"Abcc12","MGI:2441679","",NA,1,1,"one-to-one"
"ABCC2",1244,"Abcc2","MGI:1352447","MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"ABCC3",8714,"Abcc3","MGI:1923658","MP:0005376, MP:0005386",NA,1,1,"one-to-one"
"ABCC4",10257,"Abcc4","MGI:2443111","MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005385, MP:0005386, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCC5",10057,"Abcc5","MGI:1351644","MP:0005376, MP:0005386, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"ABCC6",368,"Abcc6","MGI:1351634","MP:0005367, MP:0005376, MP:0005378, MP:0005382, MP:0005385, MP:0005391, MP:0010771",NA,1,1,"one-to-one"
"ABCC8",6833,"Abcc8","MGI:1352629","MP:0005376, MP:0005378, MP:0005379",NA,1,1,"one-to-one"
"ABCC9",10060,"Abcc9","MGI:1352630","MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCD1",215,"Abcd1","MGI:1349215","MP:0003631, MP:0005376, MP:0005379, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"ABCD2",225,"Abcd2","MGI:1349467","MP:0003631, MP:0005376, MP:0005386, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"ABCD3",5825,"Abcd3","MGI:1349216","MP:0001186, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005390, MP:0010771",NA,1,1,"one-to-one"
"ABCD4",5826,"Abcd4","MGI:1349217","MP:0005386",NA,1,1,"one-to-one"
"ABCE1",6059,"Abce1","MGI:1195458","MP:0003631, MP:0005376, MP:0005379, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCF1",23,"Abcf1","MGI:1351658","MP:0010768",NA,1,1,"one-to-one"
"ABCF2",10061,"Abcf2","MGI:1351657","",NA,1,2,"one-to-many (mouse-to-human)"
"ABCF2-H2BK1",114483834,"Abcf2","MGI:1351657","",NA,1,2,"one-to-many (mouse-to-human)"
"ABCF3",55324,"Abcf3","MGI:1351656","",NA,1,1,"one-to-one"
"ABCG1",9619,"Abcg1","MGI:107704","MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005388, MP:0005397",NA,1,1,"one-to-one"
