gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,8.015574,627,2471.127
ENSMUSG00000000003,Pbsn,0,0,469
ENSMUSG00000000028,Cdc45,0.351801,12.955,1163.3910371204176
ENSMUSG00000000037,Scml2,0.015594,2,4051.711
ENSMUSG00000000049,Apoh,5.785352,198,1081.179
ENSMUSG00000000056,Narf,2.078454,290,4407.779
ENSMUSG00000000058,Cav2,2.687746,75,881.526
ENSMUSG00000000078,Klf6,3.594633,341,2996.829
ENSMUSG00000000085,Scmh1,1.87195,114.517,1932.5870991933546
ENSMUSG00000000088,Cox5a,37.214455,441.00100000000003,374.3592984965116
ENSMUSG00000000093,Tbx2,0.343524,48,4414.147
ENSMUSG00000000094,Tbx4,0,0,2704
ENSMUSG00000000103,Zfy2,0,0,2494
ENSMUSG00000000120,Ngfr,0.236568,27,3605.539
ENSMUSG00000000125,Wnt3,0,0,2739
ENSMUSG00000000126,Wnt9a,0.341983,34,3140.768
ENSMUSG00000000127,Fer,0.333509,35,3315.301
ENSMUSG00000000131,Xpo6,3.291603,270,2591.304467748389
ENSMUSG00000000134,Tfe3,2.258016,183,2560.2714034935975
ENSMUSG00000000142,Axin2,1.118137,89,2514.532917421568
ENSMUSG00000000148,Brat1,0.759075,77,3204.5578224707697
ENSMUSG00000000149,Gna12,2.748198,305.002,3506.034
ENSMUSG00000000154,Slc22a18,1.9709789999999998,68,1089.905487133044
ENSMUSG00000000157,Itgb2l,0.150942,6,1255.752
ENSMUSG00000000159,Igsf5,2.568843,123,1512.6194567893017
ENSMUSG00000000167,Pih1d2,0.190491,8,1326.715
ENSMUSG00000000168,Dlat,2.957813,333,3556.605
ENSMUSG00000000171,Sdhd,16.379229,477,919.998
ENSMUSG00000000182,Fgf23,0,0,1477
ENSMUSG00000000183,Fgf6,0,0,4320
ENSMUSG00000000184,Ccnd2,6.272161,1153.0010000000002,5807.300828322488
ENSMUSG00000000194,Gpr107,1.454463,276,5994.714964437047
ENSMUSG00000000197,Nalcn,0.030468,7,7257.915
ENSMUSG00000000202,Btbd17,0.009955,1,3173.507
ENSMUSG00000000204,Slfn4,0.049096,5,3217.227
ENSMUSG00000000214,Th,0,0,928.6666666666666
ENSMUSG00000000215,Ins2,262.62161000000003,1571.3880000000001,189.0232537563607
ENSMUSG00000000216,Scnn1g,0.031,3,3057.173
ENSMUSG00000000223,Drp2,0,0,3618.6666666666665
ENSMUSG00000000244,Tspan32,0.12140699999999999,6,1561.2466415692675
ENSMUSG00000000247,Lhx2,0.01016,1,3109.415
ENSMUSG00000000248,Clec2g,0.039751,2,1589.459
ENSMUSG00000000253,Gmpr,0.18226199999999998,6,1039.9615057883707
ENSMUSG00000000263,Glra1,0,0,1737.6666666666667
ENSMUSG00000000266,Mid2,0.9418,118,3958.0887541505626
ENSMUSG00000000275,Trim25,1.489955,273,5788.30995296905
ENSMUSG00000000276,Dgke,0.237726,53,7043.077419609131
ENSMUSG00000000278,Scpep1,3.366882,222,2082.99
ENSMUSG00000000282,Mnt,0.521706,83,5025.874
ENSMUSG00000000290,Itgb2,1.6348,132.00000000000003,2550.772424449474
ENSMUSG00000000295,Hddc2,2.378135,50,664.195
ENSMUSG00000000296,Tpd52l1,3.763357,120.00000000000001,1007.3211529137417
ENSMUSG00000000301,Pemt,3.546342,69.001,614.6533235596003
ENSMUSG00000000303,Cdh1,9.57095,1441,4756.321
ENSMUSG00000000305,Cdh4,0,0,1273.8333333333333
ENSMUSG00000000308,Ckmt1,4.503464,193,1353.8567184380734
ENSMUSG00000000317,Bcl6b,0.082743,9,3436.17
ENSMUSG00000000318,Clec10a,0.911382,34.997,1213.0877370575677
ENSMUSG00000000320,Alox12,0.22992,22,3022.7872782359077
ENSMUSG00000000326,Comt,7.401956,342.999,1463.8946922564792
ENSMUSG00000000339,Rtca,2.168465,114,1660.7887178893825
ENSMUSG00000000340,Dbt,9.874368,813,2601.018
ENSMUSG00000000346,Dazap2,9.417337000000002,520.9889999999999,1747.6849498075726
ENSMUSG00000000355,Mcts1,11.758223,119.00099999999999,319.7182270654333
ENSMUSG00000000359,Rem1,0.524495,30,1806.935916868607
ENSMUSG00000000365,Rnf17,0,0,1740.6666666666667
ENSMUSG00000000374,Trappc10,2.849686,444.003,4922.105255287424
ENSMUSG00000000378,Ccm2,4.091096,188.748,1457.498191733218
ENSMUSG00000000381,Wap,0,0,347.3333333333333
ENSMUSG00000000384,Tbrg4,3.725812,186,1577.0819444988103
ENSMUSG00000000385,Tmprss2,2.419075,162,2115.5705631574056
ENSMUSG00000000386,Mx1,0.022764,2,2775.487
ENSMUSG00000000392,Fap,0.351329,25,2247.9521314067442
ENSMUSG00000000394,Gcg,7.905756,195,779.2079184506833
