Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM
DDX11L1,,human-specific,,,,,,0.00372717403314917
WASH7P,,human-specific,,,,,,2.04081005524862
MIR6859-1,,human-specific,,,,,,0.00495669337016575
MIR1302-2HG,,human-specific,,,,,,0.00693186740331492
FAM138A,,human-specific,,,,,,0.00371114640883978
OR4F5,Or4f17 | Or4f4b | Or4f4-ps1,many-to-many,,,,,,0.0260360386740332
DDX11L17,,human-specific,,,,,,0.0628110883977901
WASH9P,,human-specific,,,,,,3.53040045027624
MIR6859-2,,human-specific,,,,,,0.00542895580110497
OR4F29,,human-specific,,,,,,0.0227672569060774
OR4F16,Or4f7,one-to-many (mouse-to-human),,,,,,0.0179091740331492
LINC01409,,human-specific,,,,,,0.265783259668508
FAM87B,,human-specific,,,,,,0.1832365
LINC01128,,human-specific,,,,,,1.56508980662983
LINC00115,,human-specific,,,,,,1.42447398895028
FAM41C,,human-specific,,,,,,0.0419148314917127
LINC02593,,human-specific,,,,,,0.514588756906077
SAMD11,Samd11,one-to-one,,,,,,1.01259939226519
NOC2L,Noc2l,one-to-one,,,Low,Approved,glandular cells,30.8876134530387
KLHL17,Klhl17,one-to-one,,,Not detected,Approved,glandular cells,5.44531527624309
PLEKHN1,Plekhn1,one-to-one,,,Low,Uncertain,glandular cells,0.988033596685083
PERM1,Perm1,one-to-one,,,Not detected,Enhanced,glandular cells,0.0728051049723757
HES4,,human-specific,,,,,,9.53624928176796
ISG15,Isg15,one-to-one,Secreted to blood,Immunity,Not detected,Approved,glandular cells,7.82598779005525
AGRN,Agrn,one-to-one,Secreted to extracellular matrix,Developmental protein,Medium,Approved,glandular cells,27.4974290883978
RNF223,Rnf223,one-to-one,,,,,,0.133473522099448
C1orf159,9430015G10Rik,one-to-one,,,Medium,Approved,glandular cells,3.12043523480663
LINC01342,,human-specific,,,,,,0.380017279005525
MIR200B,Mir200b,one-to-one,,,,,,0.578544392265193
MIR200A,Mir200a,one-to-one,,,,,,0.383785077348066
MIR429,Mir429,one-to-one,,,,,,1.00615341436464
TTLL10-AS1,,human-specific,,,,,,0.133816795580111
TTLL10,Ttll10,one-to-one,,,,,,0.211927975138122
TNFRSF18,Tnfrsf18,one-to-one,Secreted to blood,Receptor,Not detected,Approved,glandular cells,0.231056229281768
TNFRSF4,Tnfrsf4,one-to-one,,,Not detected,Enhanced,glandular cells,1.12381167127072
SDF4,Sdf4,one-to-one,Intracellular and membrane,,Low,Supported,glandular cells,67.3359604972376
B3GALT6,B3galt6,one-to-one,,,,,,8.65776549723757
C1QTNF12,C1qtnf12,one-to-one,Secreted to blood,Complement pathway,Not detected,Uncertain,glandular cells,0.517298787292818
UBE2J2,Ube2j2,one-to-one,,,,,,11.8787063535912
LINC01786,,human-specific,,,,,,1.55416770718232
SCNN1D,,human-specific,,,,,,2.59929386740332
ACAP3,Acap3,one-to-one,,,Low,Approved,glandular cells,17.1395219889503
MIR6726,,human-specific,,,,,,0.0258619723756906
PUSL1,Pusl1,one-to-one,,,High,Uncertain,glandular cells,10.1179248342541
INTS11,Ints11,one-to-one,,,Medium,Approved,glandular cells,27.457288121547
MIR6727,,human-specific,,,,,,0.0379190580110497
CPTP,Cptp,one-to-one,,,Not detected,Approved,glandular cells,11.4815063259669
TAS1R3,Tas1r3,one-to-one,,,Medium,Uncertain,glandular cells,0.204569599447514
DVL1,Dvl1,one-to-many (mouse-to-human),,,High,Approved,glandular cells,42.0976729281768
MIR6808,,human-specific,,,,,,0.0181114475138122
MXRA8,Mxra8,one-to-one,,,,,,10.3495065469613
AURKAIP1,Aurkaip1,one-to-one,,,Medium,Approved,glandular cells,50.7443215469613
CCNL2,Ccnl2,one-to-one,,,Medium,Supported,glandular cells,76.4510281767956
MRPL20-AS1,,human-specific,,,,,,8.25225251381215
MRPL20,Mrpl20,one-to-one,,,Medium,Supported,glandular cells,36.423246961326
MRPL20-DT,,human-specific,,,,,,1.90578871270718
ANKRD65,Ankrd65,one-to-one,,,Not detected,Enhanced,glandular cells,7.74490553867403
TMEM88B,Tmem88b,one-to-one,,,Not detected,Enhanced,glandular cells,0.214480149171271
LINC01770,,human-specific,,,,,,1.77885548618785
VWA1,Vwa1,one-to-one,Secreted to extracellular matrix,No annotated function,,,,20.0800402209945
ATAD3C,Atad3a,one-to-many (mouse-to-human),,,,,,3.47494965469613
ATAD3B,Atad3a,one-to-many (mouse-to-human),,,High,Approved,glandular cells,8.44675196132597
ATAD3A,Atad3a,one-to-many (mouse-to-human),,,High,Approved,glandular cells,11.1797263535912
TMEM240,Tmem240,one-to-one,,,Not detected,Supported,glandular cells,0.378732671270718
SSU72,Ssu72,one-to-one,,,Medium,Supported,glandular cells,23.8163987845304
FNDC10,Fndc10 | Fndc10l,one-to-many (human-to-mouse),,,,,,0.739770367403315
MIB2,Mib2,one-to-one,,,Not detected,Enhanced,glandular cells,13.2695795303867
MMP23B,Mmp23,one-to-one,,,,,,0.141836977900553
CDK11B,Cdk11b,one-to-many (mouse-to-human),,,Medium,Approved,glandular cells,12.9606589779006
SLC35E2B,Slc35e2,one-to-many (mouse-to-human),,,Low,Uncertain,glandular cells,12.2258353314917
MMP23A,,human-specific,,,,,,0.0907563370165746
CDK11A,Cdk11b,one-to-many (mouse-to-human),,,Medium,Supported,glandular cells,9.0172981519337
SLC35E2A,Slc35e2,one-to-many (mouse-to-human),,,,,,2.04391523480663
NADK,Nadk,one-to-one,,,Not detected,Uncertain,glandular cells,17.6465129558011
GNB1,Gnb1,one-to-one,,,High,Supported,glandular cells,47.8041024861879
CALML6,,human-specific,,,,,,1.4771394198895
TMEM52,Tmem52,one-to-one,Intracellular and membrane,No annotated function,,,,87.0098649171271
CFAP74,Cfap74,one-to-one,,,Not detected,Enhanced,glandular cells,0.0122122900552486
GABRD,Gabrd,one-to-one,,,Not detected,Enhanced,glandular cells,0.128883577348066
PRKCZ,Prkcz,one-to-one,,,Medium,Enhanced,glandular cells,2.88297677071823
PRKCZ-AS1,,human-specific,,,,,,1.89073877348066
FAAP20,Faap20,one-to-one,,,Low,Uncertain,glandular cells,4.24788759668508
SKI,Ski,one-to-one,,,Low,Approved,glandular cells,9.15460248618785
MORN1,Morn1,one-to-one,,,Medium,Uncertain,glandular cells,0.802124947513812
RER1,Rer1,one-to-one,,,Medium,Supported,glandular cells,32.564653038674
PEX10,Pex10,one-to-one,,,Not detected,Approved,glandular cells,7.49893621546961
PLCH2,Plch2,one-to-one,,,Not detected,Enhanced,glandular cells,5.89228735359116
PANK4,Pank4,one-to-one,,,,,,5.05715466850829
HES5,Hes5,one-to-one,,,Not detected,Enhanced,glandular cells,0.0578563591160221
TNFRSF14-AS1,,human-specific,,,,,,1.92820330939227
TNFRSF14,Tnfrsf14,one-to-one,,,Low,Approved,glandular cells,18.4300631491713
PRXL2B,Prxl2b,one-to-one,,,Medium,Approved,glandular cells,5.73033712707182
MMEL1,Mmel1,one-to-one,Intracellular and membrane,Enzyme,,,,0.163030801104972
MMEL1-AS1,,human-specific,,,,,,0.00040928729281768
TTC34,Ttc34,one-to-one,,,,,,0.303839809392265
ACTRT2,Actrt2,one-to-one,,,Not detected,Enhanced,glandular cells,0.0224512099447514
PRDM16-DT,Prdm16os,one-to-one,,,,,,9.08134693370166
PRDM16,Prdm16,one-to-one,,,,,,4.21460671270718
MIR4251,,human-specific,,,,,,0
ARHGEF16,Arhgef16,one-to-one,,,Medium,Approved,glandular cells,9.12878812154696
MEGF6,Megf6,one-to-one,Secreted to blood,No annotated function,Medium,Uncertain,glandular cells,4.48660654972376
MIR551A,,human-specific,,,,,,0.00084528453038674
TPRG1L,Tprg1l,one-to-one,,,,,,28.070313480663
WRAP73,Wrap73,one-to-one,,,Low,Uncertain,glandular cells,11.504284558011
TP73,Trp73,one-to-one,,,Not detected,Enhanced,glandular cells,0.209977693370166
TP73-AS3,,human-specific,,,,,,0.0411865
TP73-AS2,,human-specific,,,,,,0.00648025690607735
CCDC27,Ccdc27,one-to-one,,,,,,0.0099972182320442
SMIM1,Smim1,one-to-one,,,Medium,Enhanced,glandular cells,3.19345447513812
LRRC47,Lrrc47,one-to-one,,,Medium,Enhanced,glandular cells,17.6230848342541
CEP104,Cep104,one-to-one,,,Medium,Approved,glandular cells,4.66628712707182
DFFB,Dffb,one-to-one,,,Low,Approved,glandular cells,4.67744488950276
C1orf174,A430005L14Rik,one-to-one,,,Not detected,Approved,glandular cells,7.40452732044199
LINC01134,,human-specific,,,,,,0.163318795580111
LINC01346,,human-specific,,,,,,0.0022412182320442
LINC01345,,human-specific,,,,,,0.00217392817679558
LINC02780,,human-specific,,,,,,0.00104486740331492
LINC01777,,human-specific,,,,,,0.000779149171270718
LINC01646,,human-specific,,,,,,0.00153269889502762
AJAP1,Ajap1,one-to-one,,,,,,1.23845770441989
LINC02781,,human-specific,,,,,,0.00554439779005525
LINC02782,,human-specific,,,,,,0.000339541436464088
MIR4689,,human-specific,,,,,,0.00504771270718232
NPHP4,Nphp4,one-to-one,,,Not detected,Approved,glandular cells,2.91113253038674
