gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,8.097466,1107.777,2591.376
ENSMUSG00000000003,Pbsn,0,0,522
ENSMUSG00000000028,Cdc45,0.548221,37,1278.4189998960273
ENSMUSG00000000037,Scml2,0.15703,11,1326.8999931923836
ENSMUSG00000000049,Apoh,4.668052,258,1046.9147707891857
ENSMUSG00000000056,Narf,2.171165,495,4318.5670822411
ENSMUSG00000000058,Cav2,1.7270720000000002,170,1864.5137005191445
ENSMUSG00000000078,Klf6,3.248457,722,4210.05
ENSMUSG00000000085,Scmh1,3.5390940000000004,481.9990000000001,2579.7775682632337
ENSMUSG00000000088,Cox5a,65.17757999999999,1241,360.66218703626316
ENSMUSG00000000093,Tbx2,0.34433,122,6711.382999999999
ENSMUSG00000000094,Tbx4,0.005433,1,3486.478
ENSMUSG00000000103,Zfy2,0,0,2551
ENSMUSG00000000120,Ngfr,0.27054,67,4691.058
ENSMUSG00000000125,Wnt3,0.010785,2,3512.6460000000006
ENSMUSG00000000126,Wnt9a,0.130431,29,4211.559
ENSMUSG00000000127,Fer,1.561582,233,2826.3016491801263
ENSMUSG00000000131,Xpo6,7.254333000000001,888,2318.6900166794107
ENSMUSG00000000134,Tfe3,2.9068050000000003,613.001,3994.586440050502
ENSMUSG00000000142,Axin2,0.25135,40,3014.4417255778794
ENSMUSG00000000148,Brat1,1.221503,272.358,4223.506485757301
ENSMUSG00000000149,Gna12,2.832734,607.624,4063.093
ENSMUSG00000000154,Slc22a18,3.205779,240,1418.093703301756
ENSMUSG00000000157,Itgb2l,0.42052500000000004,32,1441.4015619856134
ENSMUSG00000000159,Igsf5,10.076426,757.527,1424.029957921489
ENSMUSG00000000167,Pih1d2,0.53516300000000006,29,1026.4523537595087
ENSMUSG00000000168,Dlat,5.869719,1142.001,3685.327050636155
ENSMUSG00000000171,Sdhd,27.183589,1488,1036.868
ENSMUSG00000000182,Fgf23,0.017343,2,2184.36
ENSMUSG00000000183,Fgf6,0.007502,2,5049.733
ENSMUSG00000000184,Ccnd2,0.689448,224.99900000000002,6181.704214397604
ENSMUSG00000000194,Gpr107,2.663614,871.9999999999999,6201.1533673925715
ENSMUSG00000000197,Nalcn,0.03633,14,7299.404
ENSMUSG00000000202,Btbd17,0,0,1154.857142857143
ENSMUSG00000000204,Slfn4,0,0,2883.6666666666665
ENSMUSG00000000214,Th,0,0,981.8333333333334
ENSMUSG00000000215,Ins2,1.9486880000000002,25,243.0105721695828
ENSMUSG00000000216,Scnn1g,0.36894,61,3131.853
ENSMUSG00000000223,Drp2,0.01814,7,7309.603188533627
ENSMUSG00000000244,Tspan32,0.222205,21,1790.162032285502
ENSMUSG00000000247,Lhx2,0.004645,1,4077.899
ENSMUSG00000000248,Clec2g,1.056758,24,430.19364250850236
ENSMUSG00000000253,Gmpr,0.997144,95.488,1813.9220177346501
ENSMUSG00000000263,Glra1,0,0,1794.6666666666667
ENSMUSG00000000266,Mid2,1.925567,484,4761.173151631181
ENSMUSG00000000275,Trim25,0.835681,276.214,6260.836
ENSMUSG00000000276,Dgke,0.286451,111,7340.060675319688
ENSMUSG00000000278,Scpep1,1.739564,201.002,2188.706
ENSMUSG00000000282,Mnt,0.926221,348,7116.919
ENSMUSG00000000290,Itgb2,0.39903,68,3227.9819999999995
ENSMUSG00000000295,Hddc2,3.135517,122.999,743.0588108305585
ENSMUSG00000000296,Tpd52l1,36.748937,1763.902,909.1947599413285
ENSMUSG00000000301,Pemt,2.9613699999999996,110.99999999999999,709.9983147009663
ENSMUSG00000000303,Cdh1,15.160036,3968.855,4958.979
ENSMUSG00000000305,Cdh4,0.009195,4,8240.506
ENSMUSG00000000308,Ckmt1,57.926151,4544.792,1486.1633873799592
ENSMUSG00000000317,Bcl6b,0.20439,45,4170.432
ENSMUSG00000000318,Clec10a,0.050101,4,1512.2972514121475
ENSMUSG00000000320,Alox12,1.963362,345,3328.4793692024195
ENSMUSG00000000326,Comt,10.16064,923.717,1722.0473736322715
ENSMUSG00000000339,Rtca,3.769251,326,1638.2866994970618
ENSMUSG00000000340,Dbt,8.021194,1336,3154.965772563536
ENSMUSG00000000346,Dazap2,19.962222,2437,2312.458449587526
ENSMUSG00000000355,Mcts1,15.254731,326.00100000000003,404.80012872773705
ENSMUSG00000000359,Rem1,0.086732,10,2183.979
ENSMUSG00000000365,Rnf17,0,0,1794.1666666666667
ENSMUSG00000000374,Trappc10,3.62034,1095,5729.174075131342
ENSMUSG00000000378,Ccm2,2.931111,292.99999999999994,1893.488543110445
ENSMUSG00000000381,Wap,0,0,391.6666666666667
ENSMUSG00000000384,Tbrg4,4.926379,453.00700000000006,1741.818938093679
ENSMUSG00000000385,Tmprss2,7.773627,1283,3126.296836758697
ENSMUSG00000000386,Mx1,0.090211,12,2519.687
ENSMUSG00000000392,Fap,0.347555,45.99999999999999,2507.045510417056
ENSMUSG00000000394,Gcg,0.041124,1,460.6070000000001
ENSMUSG00000000399,Ndufa9,27.125078000000002,1811,1264.6622024143487
ENSMUSG00000000402,Egfl6,0.065433,9,2605.41
ENSMUSG00000000409,Lck,0.335652,46,2595.9444861463658
ENSMUSG00000000411,Tssk3,0.012899,1,1468.506
ENSMUSG00000000416,Cttnbp2,0.7706629999999999,169.00099999999998,4153.8394263900045
ENSMUSG00000000420,Galnt1,1.892235,338,3383.520611754354
ENSMUSG00000000435,Myf5,0,0,1803
ENSMUSG00000000439,Mkrn2,1.734619,467.104,5100.778418013984
ENSMUSG00000000440,Pparg,0.110495,11,1885.7068798135663
ENSMUSG00000000441,Raf1,7.83052,1191.8949999999998,2883.2024431426007
ENSMUSG00000000486,Septin1,1.518092,107.999,1347.5739414422842
ENSMUSG00000000489,Pdgfb,0.592942,130,4152.962554266691
ENSMUSG00000000530,Acvrl1,1.55519,222.095,2705.1004156032377
ENSMUSG00000000531,Tamalin,0.271011,47,3285.02
ENSMUSG00000000532,Acvr1b,2.701167,769,5392.648
ENSMUSG00000000538,Tom1l2,4.823995999999999,1114.6870000000001,4376.967987602603
ENSMUSG00000000544,Gpa33,0.014703,2,2576.59
ENSMUSG00000000552,Zfp385a,0.456028,94,3904.4870535953933
ENSMUSG00000000555,Itga5,0.322041,99,5823.062
ENSMUSG00000000560,Gabra2,0.062618,4,1209.968564278642
ENSMUSG00000000561,Wdr77,2.861035,479.152,3172.3265159038597
ENSMUSG00000000562,Adora3,0.033965,2,1115.402
ENSMUSG00000000563,Atp5pb,41.964118,3330.338,1503.2717630120096
ENSMUSG00000000567,Sox9,11.936,3382.001,5367.13
ENSMUSG00000000568,Hnrnpd,18.178181000000002,1758.001,1831.8743433370478
ENSMUSG00000000579,Dynlt1c,2.515148,218.98600000000002,1649.2237093801243
ENSMUSG00000000581,C1d,8.788914,373.27700000000004,804.493779039481
ENSMUSG00000000594,Gm2a,3.21484,671,3953.578
ENSMUSG00000000600,Krit1,2.9602139999999997,389.00000000000006,2489.1661134374076
ENSMUSG00000000605,Clcn4,5.7551250000000005,1437.2540000000004,4730.488952958102
ENSMUSG00000000606,Vmn2r88,0,0,4133.888888888889
ENSMUSG00000000617,Grm6,0.015873,3,3580.148
ENSMUSG00000000627,Sema4f,0.027903,8,5430.795
ENSMUSG00000000628,Hk2,8.181015,1404,3250.7768751960484
ENSMUSG00000000631,Myo18a,5.557192000000001,2227.9990000000003,7594.2875369771245
