gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,8.97886,942,2795.433
ENSMUSG00000000003,Pbsn,0,0,516.5
ENSMUSG00000000028,Cdc45,0.699576,39,1485.4198505537643
ENSMUSG00000000037,Scml2,0.169839,6,941.306013059427
ENSMUSG00000000049,Apoh,10.183366,414.999,1085.864
ENSMUSG00000000056,Narf,3.556354,581.187,4354.416090940047
ENSMUSG00000000058,Cav2,1.65097,197,3179.408
ENSMUSG00000000078,Klf6,2.56456,452,4696.181
ENSMUSG00000000085,Scmh1,3.870891,346.00100000000003,2381.685401803099
ENSMUSG00000000088,Cox5a,65.855682,918,371.4227846826945
ENSMUSG00000000093,Tbx2,0.26715,68,6782.236
ENSMUSG00000000094,Tbx4,0,0,2754
ENSMUSG00000000103,Zfy2,0,0,2544
ENSMUSG00000000120,Ngfr,1.689048,300,4732.588
ENSMUSG00000000125,Wnt3,0.00721,1,3695.727
ENSMUSG00000000126,Wnt9a,0.136591,22,4291.61
ENSMUSG00000000127,Fer,1.692389,181.001,2849.6913734998275
ENSMUSG00000000131,Xpo6,4.578614,619,3602.2675506679525
ENSMUSG00000000134,Tfe3,2.612942,399.99899999999997,4078.958875702178
ENSMUSG00000000142,Axin2,0.43891900000000006,61.001,3703.0925582442305
ENSMUSG00000000148,Brat1,1.349985,208.99899999999997,4125.120130796268
ENSMUSG00000000149,Gna12,2.987227,472.468,4214.279
ENSMUSG00000000154,Slc22a18,3.6978240000000002,203,1462.7468168493144
ENSMUSG00000000157,Itgb2l,0.14686100000000002,9,1632.8834466876842
ENSMUSG00000000159,Igsf5,8.100579,426.287,1402.1867458826093
ENSMUSG00000000167,Pih1d2,0.136161,6,1174.135
ENSMUSG00000000168,Dlat,7.5223130000000005,1174.009,4158.524358691004
ENSMUSG00000000171,Sdhd,34.97576,1365,1039.884
ENSMUSG00000000182,Fgf23,0,0,1527
ENSMUSG00000000183,Fgf6,0,0,4370
ENSMUSG00000000184,Ccnd2,1.016794,254,6656.101
ENSMUSG00000000194,Gpr107,3.2789740000000003,663.9999999999999,5395.719774572472
ENSMUSG00000000197,Nalcn,0.08474,23,7231.9980000000005
ENSMUSG00000000202,Btbd17,0,0,1150.2857142857142
ENSMUSG00000000204,Slfn4,0.032328,4,3296.902
ENSMUSG00000000214,Th,0,0,975.8333333333334
ENSMUSG00000000215,Ins2,1.528412,15,261.49908967215646
ENSMUSG00000000216,Scnn1g,1.746012,225,3433.639
ENSMUSG00000000223,Drp2,0.039604,6,4036.6927730027264
ENSMUSG00000000244,Tspan32,0.203701,5,654.0263492962725
ENSMUSG00000000247,Lhx2,0,0,883.4285714285714
ENSMUSG00000000248,Clec2g,0.465522,4,228.9506981410116
ENSMUSG00000000253,Gmpr,1.100619,81,1960.954
ENSMUSG00000000263,Glra1,0,0,1787.6666666666667
ENSMUSG00000000266,Mid2,1.802768,322.00100000000003,4759.214043357216
ENSMUSG00000000275,Trim25,0.889643,213,6379.447
ENSMUSG00000000276,Dgke,0.172914,59,9091.618
